No.	Phrase	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
483	更為惡化	2.178	6.800	0.563	0.575
10	極其不利	2.867	6.275	0.735	0.303
1985	沒有非常出色	4.438	4.429	0.682	0.678
934	太不安全	2.778	6.167	0.416	0.373
998	還沒有決定	4.650	4.286	0.45	0.452
2053	沒有很帥	4.189	4.300	0.404	0.428
1565	應該更珍惜	7.143	5.643	0.25	0.539
1109	比較不敏感	5.500	4.071	0.5	0.175
1233	蠻不想	3.611	5.188	0.458	0.933
1611	應該挺爽	7.556	6.611	0.643	0.614
520	很舒服	7.000	4.250	0.0	0.433
2215	沒有更優惠	4.722	5.833	0.711	0.471
1202	很不開心	2.444	6.778	0.497	0.416
684	相當熱烈	7.611	8.356	0.296	0.313
238	超級怕	2.138	7.550	0.239	0.304
641	越漂亮	7.567	6.950	0.447	0.265
1138	越不爽	3.263	6.300	0.427	0.6
607	極其厭惡	1.444	8.222	0.831	0.749
1717	應該更嚴重	2.456	7.333	0.372	0.782
1082	比較沒差	5.050	3.600	0.723	0.49
282	較為流行	5.789	5.000	0.238	0.661
761	稍優	5.833	4.750	0.236	0.661
1909	沒效率	3.800	4.511	0.611	0.409
1524	應該比較安全	6.222	4.556	0.749	0.437
1206	超級不開心	2.333	7.056	0.471	0.762
1725	應該非常驕傲	5.500	6.875	0.764	0.599
1576	可能較差	3.544	3.838	0.479	0.51
2156	不能完全解決	4.250	4.950	0.354	0.82
1621	可能更麻煩	2.889	5.500	0.698	0.5
391	超級強	7.557	6.213	0.325	0.242
725	十分擔心	2.620	7.413	0.51	0.491
1205	蠻不開心	3.400	5.688	0.49	0.428
1778	本來不清楚	4.922	3.980	0.739	0.751
2127	沒特別喜歡	4.744	4.489	0.596	0.569
2028	沒有太自由	4.029	5.389	0.07	0.612
1969	不願意	3.313	5.750	0.556	0.612
1927	不愛	3.000	5.067	0.0	0.249
456	比較麻煩	2.767	5.738	0.294	0.755
34	完全支持	8.111	6.722	0.567	0.749
1252	太沒愛心	3.000	6.643	0.471	0.639
1862	沒死	5.183	5.178	0.743	0.614
823	最為關心	7.667	6.675	0.424	0.521
439	很爽	8.000	8.000	0.0	0.0
1403	也許自由	5.114	4.450	0.368	0.43
2015	沒特別好	4.525	4.538	0.529	0.545
628	稍微慢	3.822	3.163	0.29	0.644
1633	可能更惡化	2.460	6.856	0.418	0.403
435	愈清楚	6.750	4.475	0.187	0.792
2005	沒有比較好	3.750	4.786	0.354	0.749
1368	更不願意	3.111	6.000	0.567	0.667
1274	完全沒有對	2.778	5.833	0.629	0.373
555	特別想	6.000	5.125	0.775	0.781
2178	不太滿意	3.663	5.450	0.415	0.563
1139	愈不爽	3.433	7.489	0.33	0.597
1657	本來還想	4.675	3.978	0.412	0.67
895	超級不可愛	2.688	5.929	0.556	0.776
2204	不很適合	3.813	4.625	0.242	0.545
662	稍微認真	5.813	4.000	0.242	0.25
1824	應該沒有輸	5.444	4.444	0.685	0.497
1674	可能很慘	1.938	5.938	0.3	0.39
1280	很不滿意	2.444	6.500	0.497	0.667
724	尤其擅長	7.622	6.500	0.286	0.374
2243	沒有非常爛	4.000	4.875	0.289	0.65
1142	還不爽	3.000	7.500	0.764	0.378
2122	不很喜歡	4.425	5.714	0.492	0.61
2093	沒有很強	3.856	5.113	0.707	0.643
2177	沒有比較慢	5.500	3.600	0.471	0.943
1987	沒有最可怕	3.657	6.163	0.437	0.648
1100	完全沒貢獻	3.000	5.875	0.667	0.599
994	完全沒有改善	3.000	6.056	0.0	0.762
1351	完全沒幫助	3.071	6.111	0.175	0.737
134	超級好笑	7.350	7.400	0.456	0.469
863	較嚴格	3.000	7.000	0.667	0.0
36	較為支持	7.800	4.850	0.459	0.942
1637	應該蠻舒服	6.375	4.300	0.545	0.6
1372	較不嚴重	4.800	4.438	0.872	0.682
1966	沒幫助	3.500	5.167	0.471	0.624
1345	比較沒有壓力	5.688	4.375	0.556	0.484
243	老怪	3.750	5.900	0.433	0.917
319	最差	1.500	6.875	0.5	0.781
101	完全同意	7.444	5.333	0.497	0.471
1989	沒有很正	4.167	4.800	0.236	0.872
629	越慢	4.000	3.333	0.0	0.471
141	更為安全	7.200	5.171	0.279	0.416
1363	最不願	3.050	7.071	0.757	0.175
898	完全沒打	4.929	5.688	0.821	1.088
396	蠻強	6.813	6.188	0.658	0.428
808	相當豐富	7.500	6.250	0.5	0.433
2008	沒有非常好	3.922	4.725	0.6	0.424
979	比較不能忍	3.575	5.000	0.726	1.0
2184	沒有更漂亮	5.267	5.688	0.489	0.556
575	特別愛	9.000	6.889	0.0	0.737
1678	應該蠻慘	2.688	5.800	0.704	0.4
2195	不能太樂觀	3.750	5.778	0.612	0.478
1735	也許不同意	4.000	4.063	0.0	0.726
2001	不能很好	4.350	4.633	0.574	0.734
1930	沒經歷	4.667	4.125	0.471	0.599
1639	本來很開心	4.813	4.938	0.747	0.726
2235	沒有太嚴重	4.314	5.571	0.567	0.495
336	太恐怖	2.000	7.667	0.0	0.471
1572	本來有點害怕	4.375	5.500	0.545	0.5
1067	最沒有風險	6.944	6.143	0.643	0.639
40	極為出色	8.125	6.314	0.179	0.247
136	比較安心	5.556	2.667	0.497	0.667
416	更為敏感	3.940	5.925	0.71	0.277
2071	沒有非常差	4.488	4.156	0.262	0.751
1518	應該超好	7.163	5.944	0.384	0.762
1965	沒有壓力	5.538	4.600	0.409	0.847
556	略想	5.188	3.625	0.242	0.96
2206	沒很操	4.300	5.983	1.092	0.518
1839	應該不願意	4.000	5.000	0.0	0.535
1787	應該沒有亂	4.925	4.611	0.538	1.1
1830	應該沒有隨便	4.757	4.763	0.354	0.458
1593	可能很強	5.500	5.222	0.463	0.583
726	太擔心	2.000	7.000	0.0	0.0
1508	可能稍微好	5.622	4.422	0.312	0.476
562	越想	5.500	4.286	0.5	0.452
736	更為積極	7.333	7.188	0.527	0.556
1837	也許不願意	4.000	3.944	0.0	0.762
2158	沒完全解決	4.375	5.056	0.545	0.55
2027	不能太自由	4.429	5.643	0.562	0.639
1123	蠻不清楚	4.000	4.625	0.0	0.484
527	較舒適	6.600	3.444	0.49	0.497
43	有點可怕	3.333	6.375	0.471	0.484
1246	最沒愛	2.600	6.700	1.091	0.51
537	還開心	7.429	6.563	0.623	0.634
278	十分活躍	6.975	7.875	0.066	0.179
610	挺對	7.143	5.667	0.35	0.624
