No.	Phrase	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
0	怪八卦	3.450	4.383	0.423	0.579
1	更加小心	5.111	7.188	0.875	0.242
2	格外小心	3.950	6.500	0.527	0.381
3	特別小心	5.000	7.000	0.5	0.0
4	極為小心	3.989	6.925	0.694	0.319
5	萬分小心	4.600	7.500	1.158	0.433
6	怪小偷	2.900	5.100	1.114	0.1
7	更為不利	2.375	6.389	0.415	0.515
8	相當不利	2.500	6.444	0.5	0.497
9	最為不利	2.500	6.643	0.866	0.639
10	極其不利	2.867	6.275	0.735	0.303
11	極為不利	2.275	7.088	0.327	0.314
12	略不足	4.244	3.478	0.365	0.452
13	略微不足	4.711	3.657	0.185	0.699
14	稍不足	4.211	4.438	0.238	0.464
15	極度不足	2.756	4.788	0.709	0.664
16	較不足	4.000	4.375	0.0	0.484
17	較為不足	3.438	4.120	0.4	0.936
18	稍微不足	4.522	4.233	0.215	0.542
19	相當不便	2.900	5.375	0.831	0.484
20	極為不便	2.875	5.833	0.238	0.39
21	較為不便	4.375	5.078	0.396	0.503
22	完全不符	2.400	5.286	0.49	0.452
23	十分不滿	2.256	7.444	0.241	0.398
24	尤其不滿	2.167	7.422	0.211	0.466
25	相當不滿	2.111	7.000	0.737	0.0
26	最為不滿	2.450	7.138	0.436	0.239
27	越發不滿	2.860	6.950	0.196	0.087
28	極其不滿	1.933	7.389	0.485	0.348
29	極度不滿	2.256	7.422	0.546	0.96
30	極為不滿	2.388	7.489	0.389	1.014
31	極度不適	2.433	6.000	0.535	1.418
32	稍微分享	6.167	4.322	0.371	0.565
33	極度反感	1.389	7.889	0.515	0.774
34	完全支持	8.111	6.722	0.567	0.749
35	特別支持	7.550	6.722	0.415	0.498
36	較為支持	7.800	4.850	0.459	0.942
37	較支持	6.667	5.356	0.685	0.615
38	相當出色	8.000	6.389	0.408	0.614
39	最為出色	8.056	6.288	0.593	0.352
40	極為出色	8.125	6.314	0.179	0.247
41	比較可怕	3.113	6.722	0.196	0.583
42	好可怕	3.000	7.000	0.0	0.0
43	有點可怕	3.333	6.375	0.471	0.484
44	更可怕	3.000	7.000	0.0	0.0
45	更為可怕	2.470	7.188	0.478	0.242
46	很可怕	2.500	7.000	0.5	0.0
47	挺可怕	2.590	7.378	0.291	0.239
48	最可怕	2.000	7.500	0.894	0.5
49	最為可怕	2.490	6.717	0.455	1.12
50	還可怕	2.750	7.188	0.433	0.496
51	蠻可怕	3.100	6.778	0.224	0.598
52	挺可悲	2.650	6.125	0.923	0.65
53	蠻可悲	2.375	6.813	0.65	0.658
54	十分可愛	7.678	7.143	0.524	0.226
55	太可愛	8.000	7.000	0.0	0.0
56	比較可愛	6.944	6.000	0.762	0.667
57	好可愛	8.000	7.000	0.0	0.0
58	怪可愛	6.950	6.450	0.897	0.529
59	非常可愛	8.000	7.313	0.0	0.348
60	挺可愛	7.422	6.278	0.503	0.447
61	超可愛	8.000	7.556	0.0	0.497
62	蠻可愛	7.571	6.563	0.495	0.634
63	超級可愛	8.200	7.267	0.386	0.462
64	好可憐	3.000	6.000	0.0	0.0
65	有點可憐	4.063	4.556	0.3	0.55
66	怪可憐	2.678	5.400	0.612	0.68
67	很可憐	2.556	6.000	0.497	0.0
68	挺可憐	2.844	6.075	0.279	0.171
69	超可憐	2.560	6.413	0.395	0.655
70	完全失控	2.000	8.000	1.225	0.745
71	有點失望	2.900	5.625	0.831	0.484
72	非常失望	2.000	7.000	0.0	0.0
73	相當失望	2.000	7.000	0.0	0.0
74	略失望	3.833	5.313	0.471	0.496
75	略微失望	2.313	5.870	0.318	0.651
76	極度失望	1.630	7.244	0.424	0.347
77	極為失望	1.733	7.214	0.469	0.647
78	異常平靜	7.589	1.857	0.311	1.33
79	稍微打	3.588	6.556	0.376	0.56
80	完全打擊	2.875	7.438	0.599	0.39
81	比較正	6.500	5.571	0.5	0.495
82	很正	7.000	6.000	0.0	0.0
83	挺正	6.611	5.778	0.458	0.583
84	最正	7.400	6.000	0.49	0.0
85	超正	7.556	6.667	0.497	0.471
86	超級正	7.967	6.800	0.231	0.931
87	越正	7.000	6.000	0.433	0.75
88	蠻正	7.310	6.257	0.33	0.518
89	極為正面	7.478	5.133	0.391	0.415
90	稍用力	5.125	5.875	0.331	0.65
91	稍稍用力	4.813	5.688	0.348	0.556
92	稍微用力	5.613	7.057	0.33	0.609
93	愈用力	4.850	7.625	0.328	0.307
94	老白痴	2.413	7.000	0.401	0.843
95	老白癡	1.571	7.917	0.495	0.186
96	超丟臉	1.813	7.313	0.788	0.609
97	超級丟臉	2.088	6.811	0.322	0.832
98	太兇	2.556	8.000	0.497	0.0
99	越兇	3.000	7.713	0.233	0.392
100	愈兇	2.667	7.667	0.408	0.527
101	完全同意	7.444	5.333	0.497	0.471
102	十分好	7.833	6.667	0.408	0.624
103	太好	8.100	6.625	0.831	0.484
104	尤其好	7.900	6.300	0.328	0.589
105	比較好	6.667	5.333	0.471	0.667
106	完全好	7.625	6.333	0.415	0.527
107	非常好	8.500	6.625	0.5	0.484
108	很好	8.000	6.000	0.0	0.0
109	相當好	7.400	6.000	0.49	0.0
110	挺好	6.925	5.656	0.356	0.483
111	特別好	7.556	6.375	0.497	0.484
112	略好	5.913	4.625	0.28	0.484
113	異常好	7.311	6.250	0.635	0.354
114	無比好	7.700	6.871	0.535	0.43
115	稍好	6.278	4.411	0.394	0.491
116	稍微好	6.611	5.925	0.601	0.334
117	超好	8.444	7.000	0.497	0.667
118	超級好	7.625	6.667	0.484	0.471
119	越好	7.267	5.378	0.226	0.563
120	愈好	7.470	6.250	0.372	0.173
121	較好	7.311	5.344	0.328	0.409
122	蠻好	6.933	5.086	0.558	0.304
123	比較好玩	6.338	5.800	0.485	0.432
124	挺好玩	7.000	5.744	0.408	0.581
125	超好玩	7.433	6.600	0.383	0.35
126	蠻好玩	7.000	6.222	0.408	0.248
127	太好笑	7.250	7.375	0.433	0.484
128	比較好笑	6.944	6.844	0.279	0.558
129	更好笑	6.833	7.000	0.577	0.378
130	很好笑	7.000	7.000	0.0	0.0
131	挺好笑	6.700	6.822	0.457	0.512
132	最好笑	7.400	7.500	0.49	0.5
133	超好笑	7.289	7.178	0.269	0.358
134	超級好笑	7.350	7.400	0.456	0.469
135	蠻好笑	6.400	6.400	0.49	0.49
136	比較安心	5.556	2.667	0.497	0.667
137	較安心	6.122	2.338	0.483	0.377
138	比較安全	6.444	4.375	0.497	0.484
139	更安全	7.000	4.778	0.0	0.416
140	更加安全	7.000	5.700	0.107	0.571
141	更為安全	7.200	5.171	0.279	0.416
142	稍微安全	6.413	4.367	0.344	0.6
143	較安全	6.500	4.625	0.5	0.484
144	較為安全	6.800	4.333	0.49	0.483
145	十分成功	8.875	7.929	0.217	0.319
146	非常成功	9.000	7.500	0.0	0.5
147	相當成功	8.778	7.400	0.416	0.49
148	略成功	6.100	5.025	0.635	0.043
149	最為成功	8.544	7.078	0.365	0.715
150	極為成功	8.913	7.825	0.162	0.156
151	還有用	5.856	4.638	0.347	0.755
152	更為有利	6.625	6.700	0.249	0.235
153	最有利	7.000	6.667	0.816	0.471
154	最為有利	7.463	6.420	0.466	1.055
155	較有利	6.075	5.700	0.295	0.44
156	較為有利	6.186	5.556	0.242	0.525
157	更有效	7.000	6.000	0.0	0.0
158	更為有效	7.389	6.286	0.393	0.247
159	最有效	7.444	6.111	0.497	0.314
160	最為有效	7.813	6.389	0.242	0.458
161	十分有趣	8.222	7.063	0.533	0.39
162	比較有趣	6.875	6.125	0.696	0.217
163	更為有趣	7.300	6.000	0.33	0.0
164	非常有趣	8.000	7.000	0.0	0.0
165	很有趣	7.778	6.000	0.416	0.0
166	挺有趣	7.811	6.378	0.264	0.308
167	很有錢	7.222	6.222	0.416	0.416
168	最有錢	6.913	6.438	0.462	0.529
169	稍微有錢	6.256	5.463	0.527	0.596
170	超有錢	7.500	6.938	0.527	0.583
171	超級有錢	7.589	7.056	0.378	0.568
172	越有錢	6.080	6.113	0.841	0.169
173	還有錢	5.778	5.010	0.705	0.749
174	愈有錢	6.700	5.680	0.462	0.658
175	太自由	6.000	6.071	0.949	0.821
176	完全自由	6.956	5.280	0.479	0.349
177	更為自由	6.822	5.950	0.397	0.132
178	無比自信	8.460	6.650	0.388	0.283
179	萬分自責	2.200	6.913	0.343	0.337
180	極其低落	2.344	4.800	0.337	1.173
181	太冷	3.000	5.333	0.0	0.471
182	好冷	3.000	5.000	0.0	0.0
183	有點冷	3.333	4.375	0.471	0.484
184	略冷	3.938	4.286	0.39	0.452
185	稍冷	3.878	3.678	0.529	0.545
186	稍微冷	3.663	3.556	0.415	0.497
187	超級冷	2.513	4.056	0.398	0.986
188	越冷	3.133	3.813	0.583	0.657
189	愈冷	3.000	5.333	0.0	0.471
190	較冷	3.311	4.425	0.436	0.323
191	異常冷淡	2.300	4.100	0.457	0.622
192	完全否定	2.625	5.822	0.426	0.496
193	完全否認	2.722	5.489	0.579	0.475
194	尤其吸引	6.478	6.857	0.399	0.337
195	格外吸引	7.278	7.333	0.416	0.471
196	特別吸引	6.156	6.500	0.778	0.463
197	十分壯觀	7.722	7.188	0.671	0.242
198	相當壯觀	7.188	6.989	0.864	0.716
199	老妓女	2.075	5.671	0.319	0.856
200	更完善	7.000	5.375	0.0	0.484
201	更加完善	7.000	5.000	0.0	0.0
202	更為完善	7.725	5.380	0.228	0.508
203	老巫婆	2.500	6.286	0.5	0.525
204	尤其希望	7.988	6.325	0.257	0.424
205	更希望	7.889	6.000	0.314	0.0
206	無比快樂	8.313	7.563	0.428	0.527
207	極其扭曲	1.989	6.588	0.179	0.362
208	極度扭曲	2.400	6.600	0.33	0.35
209	略改善	5.813	4.500	0.242	0.408
210	略微改善	6.222	5.400	0.355	0.71
211	稍稍改善	5.722	4.667	0.248	0.624
212	稍微改善	6.250	5.475	0.541	0.402
213	更加沉重	2.156	6.811	0.157	0.26
214	更為沉重	2.260	7.022	0.242	0.397
215	格外沉重	2.540	6.413	0.418	0.392
216	異常沉重	2.044	6.913	0.134	0.169
217	無比沉重	2.143	6.833	0.226	0.913
218	更佳	7.000	5.111	0.0	0.314
219	稍佳	6.038	3.778	0.158	0.585
220	愈佳	6.944	5.450	0.142	0.557
221	較佳	6.400	4.500	0.49	0.5
222	老垃圾	2.025	7.650	0.043	0.409
223	怪垃圾	2.000	7.850	0.0	0.335
224	好奇怪	3.667	6.000	0.471	0.0
225	有點奇怪	4.000	5.375	0.0	0.484
226	很奇怪	3.667	6.000	0.471	0.0
227	蠻奇怪	3.470	6.167	1.053	0.163
228	無比幸運	8.133	6.788	0.566	0.673
229	無比幸福	8.422	4.525	0.385	0.438
230	完全忽略	2.250	4.750	0.433	0.829
231	完全忽視	2.500	5.556	0.5	0.497
232	好怕	2.500	7.000	0.5	0.0
233	有點怕	3.250	6.500	0.433	0.5
234	怪怕	3.167	7.300	0.898	0.4
235	很怕	2.600	7.000	0.49	0.0
236	最怕	2.100	7.600	0.831	0.49
237	超怕	2.556	7.444	0.497	0.497
238	超級怕	2.138	7.550	0.239	0.304
239	越怕	2.389	7.113	0.378	0.262
240	愈怕	2.857	6.822	0.226	0.464
241	還怕	2.944	6.875	0.643	0.415
242	有點怪	3.475	4.338	0.349	0.583
243	老怪	3.750	5.900	0.433	0.917
244	很怪	2.600	5.444	0.49	0.497
245	蠻怪	3.300	4.713	0.224	0.511
246	萬分抱歉	2.467	4.650	0.35	0.382
247	稍稍放心	5.750	4.167	0.354	0.943
248	稍微放心	5.833	2.713	0.254	0.473
249	完全放棄	1.978	6.525	0.063	0.466
250	略微放鬆	6.222	1.600	0.607	0.415
251	稍放鬆	5.611	3.500	0.314	0.707
252	稍稍放鬆	5.788	2.800	0.232	0.475
253	稍微放鬆	5.622	2.722	0.385	1.039
254	略放鬆	6.200	2.917	0.6	0.534
255	萬分欣喜	7.889	7.622	0.551	0.447
256	無比欣慰	7.570	5.340	0.443	0.356
257	萬分欣慰	7.800	6.160	0.508	0.206
258	還沾沾自喜	3.778	6.722	0.342	0.342
259	稍微玩	5.063	4.500	0.165	0.612
260	愈玩	5.214	6.063	0.525	0.682
261	還玩	4.457	6.333	0.484	0.373
262	異常保護	4.667	6.129	0.236	0.819
263	無比信心	8.313	6.938	0.704	0.39
264	無比勇氣	7.963	7.478	0.07	0.449
265	好帥	7.000	6.333	0.0	0.471
266	特別帥	7.367	6.417	0.481	0.449
267	最帥	7.467	5.733	0.435	0.57
268	超級帥	7.944	7.444	0.437	0.55
269	越帥	6.838	5.975	0.331	0.869
270	蠻帥	7.250	6.063	0.354	0.634
271	挺帥	6.875	6.111	0.545	0.614
272	超帥	7.667	6.889	0.471	0.567
273	十分後悔	1.600	7.375	0.436	0.65
274	超後悔	2.000	6.000	0.0	0.816
275	超級後悔	1.333	7.083	0.471	0.672
276	萬分後悔	2.225	6.222	0.259	0.644
277	最為恰當	7.156	6.000	0.406	0.66
278	十分活躍	6.975	7.875	0.066	0.179
279	相當活躍	7.214	7.611	0.247	0.698
280	異常活躍	7.520	8.511	0.357	0.325
281	最為活躍	7.188	8.056	0.428	0.797
282	較為流行	5.789	5.000	0.238	0.661
283	更加珍惜	7.467	6.400	0.374	0.49
284	格外珍惜	8.125	6.260	0.238	0.377
285	萬分珍惜	8.333	6.560	0.49	0.393
286	尤其珍貴	7.600	6.325	0.397	0.691
287	格外珍貴	8.300	6.438	0.271	0.591
288	異常珍貴	8.233	6.638	0.309	0.223
289	最為珍貴	7.943	5.767	0.302	0.763
290	無比珍貴	7.913	6.633	0.215	0.442
291	極其珍貴	8.460	6.763	0.388	0.738
292	極為珍貴	8.022	5.656	0.625	0.506
293	太相信	8.000	6.000	0.0	0.0
294	還相信	7.438	5.813	0.39	0.496
295	更美好	7.444	6.222	0.497	0.416
296	更加美好	7.656	6.556	0.211	0.347
297	越苦	2.188	5.714	0.348	0.525
298	老英雄	7.750	7.063	0.433	0.726
299	更為重大	4.600	7.525	0.447	0.331
300	格外重大	3.567	8.044	0.346	0.34
301	最為重大	4.838	8.000	0.331	0.0
302	極其重大	5.100	8.071	0.663	0.175
303	極為重大	4.300	7.867	0.598	0.537
304	完全陌生	2.500	4.778	0.5	0.786
305	尤其值得	7.222	6.378	0.29	0.444
306	更值得	7.000	6.000	0.0	0.0
307	非常值得	7.222	7.000	0.416	0.775
308	相當值得	7.357	5.733	0.32	0.442
309	格外值得	7.229	6.533	0.249	0.397
310	蠻值得	6.510	5.871	0.391	0.175
311	略微哽咽	4.000	5.813	0.354	0.788
312	愈害怕	2.678	6.200	0.516	0.543
313	太差	2.500	5.429	0.5	0.495
314	比較差	3.000	4.111	0.0	0.737
315	更差	2.667	5.250	0.471	0.433
316	非常差	2.375	5.889	0.484	0.567
317	特別差	2.522	6.171	0.498	0.822
318	略差	3.889	4.900	0.314	0.2
319	最差	1.500	6.875	0.5	0.781
320	稍差	3.444	4.222	0.497	0.416
321	稍微差	3.713	4.278	0.392	0.754
322	超差	2.000	6.444	0.0	0.497
323	超級差	1.500	7.071	0.527	0.562
324	愈差	2.738	4.750	0.255	0.456
325	較差	3.513	5.233	0.366	0.419
326	還差	2.957	5.075	0.226	0.156
327	越差	2.944	4.778	0.183	0.52
328	太弱	2.778	5.667	0.416	0.471
329	有點弱	3.400	4.125	0.49	0.331
330	略弱	4.300	4.075	0.26	0.198
331	最弱	2.571	5.714	0.495	0.7
332	稍弱	3.625	4.222	0.484	0.416
333	越弱	2.756	4.940	0.556	0.858
334	愈弱	2.811	4.950	0.608	0.712
335	較弱	3.400	4.000	0.49	0.0
336	太恐怖	2.000	7.667	0.0	0.471
337	好恐怖	2.333	7.000	0.471	0.0
338	有點恐怖	3.014	7.080	0.879	0.811
339	更恐怖	2.000	7.400	0.0	0.49
340	怪恐怖	2.722	7.389	0.853	0.614
341	很恐怖	2.000	7.400	0.0	0.49
342	最恐怖	1.625	7.556	0.484	0.497
343	超級恐怖	2.050	7.567	0.087	0.368
344	蠻恐怖	2.311	7.356	0.39	0.521
345	超恐怖	1.625	7.667	0.484	0.471
346	極度恐懼	1.411	7.870	0.314	0.623
347	萬分恐懼	1.625	8.056	0.82	0.497
348	無比振奮	7.833	8.222	0.373	0.671
349	略微氣憤	2.956	6.733	0.673	0.32
350	完全消滅	2.388	7.363	0.385	0.671
351	無比真實	7.313	5.417	0.609	0.607
352	完全缺乏	2.556	5.667	0.497	0.471
353	極度缺乏	2.038	5.967	0.339	0.957
354	較缺乏	3.013	4.600	0.093	0.477
