Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
讓遺眷備感溫馨	7.0	3.5	0.0	1.118
自認為稍有鬆懈就會被別人搶走飯碗	4.0	5.667	0.0	0.471
的算寫的工整的了	6.0	4.5	0.0	0.5
不知道這樣刷推效果如何	5.0	4.333	0.816	0.471
當然天資會影響成效	4.5	5.25	0.5	0.433
劇情突然變味了	4.0	5.0	0.0	1.414
柏克萊睡眠專家	5.0	3.0	0.0	2.0
本週最令人印象深刻的一個概念	6.667	5.333	0.471	0.943
你也許會很失望	3.5	5.5	0.5	0.5
走失在彰化埤頭	3.5	4.5	0.5	0.5
國民黨徹底淪落為政治娼妓了	2.5	5.25	0.5	0.829
凝聚成妳我的餘生	6.333	4.0	0.471	0.0
例如我日文沒有那麼流利我會不會什麼都不行	4.0	3.6	0.707	1.855
我爺爺過世時我爸已經35歲了	5.0	1.667	0.0	0.943
傻一點不要批判	4.5	3.5	0.5	0.5
雪崩的時候發生了不幸	3.0	5.75	0.707	0.829
鼓動他人做烈士是居心叵測的	3.0	7.0	0.0	1.581
違約反定焉知醜	2.333	6.667	0.943	0.471
雨兒便把他解開了	5.6	5.25	0.49	0.433
中國人以這種樸素的價值觀	5.333	3.0	1.7	1.414
這就是一個非凡的賽季	6.5	6.0	0.5	1.0
就一幫說中文的不知什麼人不斷地在這裡製造恐慌	3.0	7.0	0.0	0.816
不是煽動臺灣反華	4.5	4.5	0.5	1.803
但美國通過軍事手段直接或間接地推翻了薩達姆	5.5	6.0	0.5	1.0
其實我覺得這世界上就沒有種族歧視	5.0	6.333	0.707	0.943
為病人保守隱私	6.5	4.333	0.5	0.943
否則這輩子的後果堪慮啊	3.0	7.0	0.0	1.0
美國已經清楚的講說	5.0	4.0	0.0	2.449
王莽謙恭未篡時	7.0	1.0	0.0	0.0
所以人的素質比較能提高	6.333	4.0	0.471	1.633
習武之人苦練十年	5.667	2.0	0.471	0.816
為一個上臺4年一事無成的婊子喝彩	3.0	5.667	0.707	0.471
有些人卻因為麻木不仁	4.0	3.4	0.0	1.625
你媽媽看上去非常慈祥	7.0	5.0	0.0	0.0
就會安於?體制	5.0	4.333	0.707	0.471
卡在時間裂縫的男人	5.0	2.667	0.0	1.247
恰巧老巫婆看過這篇小說	5.0	2.5	0.0	1.5
但這是虛無的詩意	4.667	3.333	0.471	1.247
原本有條不紊的編劇表演變成語無倫次的胡扯閒談	3.0	5.75	0.0	1.299
處於曖昧狀態但還沒結婚	5.0	3.333	0.816	1.247
直面質疑中共政權	4.667	5.333	0.943	1.247
傾倒出異香盈室的酒液呈現烏金色	5.333	4.0	0.471	2.121
要讓邪教信眾戒除邪教	6.667	5.333	0.471	1.247
含有較多的脂肪	4.6	3.0	0.49	1.673
超音波是一種非侵入性	5.0	4.0	0.0	1.095
不需要害怕弄痛我	6.667	5.0	0.471	0.816
某些產品可以豁免	6.25	4.0	0.433	0.707
明白自己知道什麼且立場堅定	6.0	6.25	0.0	1.299
要求美國行政部門積極支援擴大臺灣的國際參與	6.667	6.0	0.471	0.816
原來是這樣練成的	5.667	5.0	0.471	0.816
不瞭解他的性情	4.0	3.667	0.0	1.886
他們兩邊都受騙	3.2	5.0	0.98	0.707
婚姻平權的戰鬥	5.0	5.0	0.0	2.739
這樣俄版混合戰在國土掠奪上的應用就弄完了	5.5	2.0	0.5	0.816
十分謝謝媒體朋友	7.0	4.25	0.0	1.299
逼近我朝東邊邊境	4.667	4.667	0.471	0.471
送禮自用兩相宜	7.0	5.0	0.0	1.0
而人生也會被絆所牽制	4.0	5.0	0.707	0.0
就如同你信賴他嗎	5.0	4.333	0.0	2.357
就無所顧忌地開始胡鬧	3.0	5.333	0.0	0.471
終稍來寒光中的暖意	6.0	3.5	0.0	1.118
道理不是盡在美國那邊	4.667	6.333	0.471	0.943
媽啊我擔負不起	2.5	7.5	0.5	0.5
畢竟給國人信心也是一國吉祥物的工作	6.0	5.25	0.894	0.829
極樂淨土之類的	7.5	4.0	0.5	2.0
