Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
這是我觀賞過的最令人驚歎的演出	7.0	7.75	0.0	0.433
每一樣都美好得不可思議	7.75	7.4	0.433	1.2
我想不出合適的詞來形容她	4.5	4.75	0.5	1.09
語言不能描述她	5.5	4.6	0.5	1.855
我覺得我們共同對神獻上禮讚	7.333	6.333	1.247	1.7
但看完你的留言感覺超弱	3.667	5.667	0.471	0.943
歷史上我還真找不到有那一位成功者是每天開會	4.0	4.0	0.707	2.236
民主先生們該好好思考了	5.667	4.667	0.471	0.471
與運動神經拔群的模特體型美少女	6.25	5.25	0.433	0.433
原本過著和平的高中生活的兩人	5.667	5.333	0.471	1.247
迷路到了從未到過的土地	5.0	4.0	0.0	2.121
世界瑜珈大賽七強	6.667	5.667	1.247	1.247
不管是露基梅還是抱枕套只要有克萊的臉就90分起跳	7.0	6.0	0.0	0.0
在沒有任何實證其數學能力的情況下	5.0	3.5	0.0	0.5
獲得89萬名考官的認可	6.667	4.667	0.943	0.471
而手的姿勢又可以表達很多不同的感覺	6.0	5.0	0.707	0.816
基隆市長施政滿意破七成	6.5	4.6	0.5	1.855
高雄市民你們怎麼不會感到憤怒啊	3.0	6.6	0.0	0.49
工作繳稅讓這種人浪費你們的時間跟金錢	2.6	7.5	0.49	0.866
市長的工作都沒有做	3.5	6.5	0.5	0.5
不仔細看會以為這地鐵站叫	5.0	4.0	0.0	2.0
朱社長又在臉書罵小英沒有履行承諾	3.5	5.333	0.5	0.471
讓臺灣人不用為身分認同道歉	7.0	4.25	0.707	1.785
我不懂他們說的電波是什麼意思	4.333	4.333	0.471	0.471
所以無法跟不熟的人很放心的聊天	4.0	4.5	0.0	0.5
詢問後才知道他是被用某個特定稱呼喊到厭煩	3.6	4.0	0.49	0.707
一切諸佛所護念?	5.0	3.25	0.0	1.92
或許在我們該該叫的那晚復活的事情早就決定了吧	5.4	5.5	0.49	1.118
河村隆一演出充滿溫暖	7.667	5.667	0.471	1.886
兩者根本毫無區別	4.333	6.333	0.471	1.247
一樣孩子般的笑聲	6.0	3.0	0.0	0.816
12個自然人股東均為集團的創始人	5.333	3.333	0.471	1.7
自願簽署捐贈協議	6.25	4.75	0.433	0.433
協議要求這些自然人股東在離職或死亡的情況下	4.0	4.0	0.0	0.0
打從一開始你就接受我真實的樣子	7.0	5.25	0.707	0.829
負面的樣子都能愛著我	6.0	4.0	0.816	2.16
直到你告訴我你感到壓力	4.0	2.667	1.0	0.943
他把自己經歷的事件遇見的人	5.0	4.333	0.0	0.471
都用沒有情緒的口吻描述在小說裡	4.5	4.5	0.5	0.866
甚麼心靈量子宇宙能量場的你一分鐘就失去了六十秒真是不得了	5.0	7.0	0.0	0.0
感恩老師教會我學習獨處	7.0	5.75	0.0	0.829
得到寧靜的力量等等	5.667	2.667	0.471	0.943
獨處還需要花學費學習	4.0	6.5	0.0	0.5
之前裙子的我也有突然換色的經驗耶	5.5	5.75	0.5	1.299
但是沒過多久又變回一開始看到的顏色	4.5	4.5	0.5	0.5
但卻突然就換顏色了	4.0	5.5	0.0	1.118
但當時還是不管怎麼看都是灰綠	4.0	3.0	1.0	2.0
也說不定明天就會變回灰綠了	4.0	5.0	0.0	0.816
但這感覺真的有夠奇怪	4.0	5.667	0.0	0.471
被同事說很會安慰人	6.6	4.4	0.49	1.744
因為擠牙膏自己壓到手結果流血	4.25	5.75	0.433	0.433
的群嘲仇恨給拉走	3.4	4.8	0.49	1.6
普通的生活真的很珍貴的	6.333	5.0	0.943	1.414
但是居然一個禮物	5.5	6.333	0.5	0.471
久病床前無孝子	2.6	4.4	0.49	2.577
痛失稚子的總統	3.5	3.5	0.5	1.118
竟獨自奔赴墓園	4.0	7.0	0.816	0.816
我突然渴望他認識我	6.0	6.0	0.816	2.449
快樂的待在現友同溫層	7.0	6.667	0.816	0.471
然後這一年多才突然感覺到自己真的在玩同人了	5.0	4.667	0.0	1.7
之前到底在幹嘛	3.667	6.667	0.943	1.247
真的很難以置信	5.0	6.75	0.0	0.433
結束哭因為那種離別的感覺太真實了	3.667	7.333	0.943	0.471
一幅畫作被美國高階鑑價師鑑價一千三百萬美元	6.0	6.0	0.894	1.871
就是以前曾經那麼喜歡的東西	4.0	3.0	0.0	0.0
為什麼自己現在可以這麼毅然的捨棄	4.333	4.0	0.471	1.414
臺灣無法容忍這種和禿頭韓一樣的廢物	2.75	7.25	0.433	0.433
竟然還看得到有人說麥可貝當年把福克斯踢掉是正確的選擇	3.25	7.0	0.433	0.0
感性凌駕於理性之上時	4.6	5.25	0.49	1.09
胸不平何以平天下	5.5	4.75	0.5	1.09
柴門反關無俗客	5.667	4.0	0.943	2.449
碧雲引風吹不斷	5.5	4.5	0.5	0.5
走向遠方是為了讓生命更輝煌	7.6	5.6	0.49	1.356
不論是孤獨地走著還是結伴同行	5.0	2.333	0.0	1.886
讓每一個腳印都堅實而有力量	6.75	4.75	0.433	1.09
又見平成最後的這種傻逼句型	3.0	5.0	0.0	0.707
要是平成最後的聚會我還能理解一二	4.5	4.4	0.5	1.625
將自然風景區作為人驕傲的一部分同理	6.5	5.5	0.5	1.5
我倒希望你是仙人	5.0	6.0	0.0	0.0
你就別錯過我們的個人彩妝課	4.0	4.333	0.816	0.471
歡迎報名學習更多技巧	6.75	4.25	0.433	0.433
男兒何不帶吳鉤	5.0	4.0	0.0	0.0
女孩緊緊抓住男子的衣服	5.0	3.667	0.0	1.247
男子的鮮紅雙眼流露出不滿	3.0	6.667	0.0	0.471
然而他也無可奈何	4.0	3.75	0.0	1.299
我不得不再次談論許章潤教授	4.5	4.5	0.5	3.5
如果你還如此平靜	5.0	2.75	0.707	1.299
不願做奴隸的人們	5.5	6.333	0.5	0.943
然後我下了公交進了地鐵就一直覺得眼睛疼	3.667	5.0	0.471	0.0
你就該有多少堅強	6.0	6.0	0.0	0.816
你就會有多少光芒	6.0	4.0	0.0	2.098
一點不誇張的說	5.667	6.667	0.471	2.055
每一筆自己都非常嫌惡	2.5	7.0	0.5	0.816
大小不一奇形怪狀	5.0	3.0	0.0	1.581
上門顧客逐年減少	3.25	4.25	0.433	0.829
武吉知馬一帶擁有近40年曆史的老字號陳唱車行展銷室	5.333	3.333	0.471	1.247
5000母音樂家	5.333	2.667	0.471	1.247
醉漢出口辱罵女郎	2.25	4.333	1.299	0.471
女郎不甘示弱回嗆	3.0	4.667	0.816	0.943
要是伊斯蘭教不是平和的宗教那這世界可了得	4.0	7.667	1.581	0.471
別把部分人的不當行為怪罪於宗教上了	4.0	7.0	0.0	0.0
因為惡意的誕生就是為了傷人	2.333	5.333	0.471	2.055
但還是會受皮肉傷	4.0	3.25	0.0	1.785
只許州官放火不許百姓點燈	2.0	6.5	1.0	0.5
當今更是隻許州官殺人不許百姓?雞	3.0	5.0	0.816	2.16
冰箱等傢俱損毀後	3.0	3.667	0.0	1.7
搭豪華私召車卻沒錢還	3.25	5.75	0.433	0.829
私召車司機徒步追逐將近1公里	4.5	6.667	1.118	0.471
居民斥環境髒亂	3.0	6.0	0.0	0.0
卻幾乎全無用處	2.667	6.667	0.471	0.943
身後的恩惠要留流得久	6.667	5.333	0.471	1.247
為了抄近路踐踏草坪	4.0	5.667	0.0	0.471
峨眉武術的剛柔並濟	6.0	3.0	0.0	1.225
江湖中的人心人性才得以愈發清晰	4.667	7.0	0.471	0.816
習武之人苦練十年	5.667	2.0	0.471	0.816
冰火問我怎麼區分知己	5.0	4.4	0.0	1.625
有了喜事和人分享	7.0	5.667	0.707	0.943
心裡卻充滿嫉妒的是熟人	2.667	7.0	0.471	0.816
不安分的小舌頭	5.0	5.667	0.0	0.471
因為他們的自卑群聚太重	3.5	5.5	0.5	0.5
講沒幾句就覺得別人看不起他們	3.0	6.6	0.0	1.744
最後又社會經驗萬歲	3.667	7.333	0.943	0.471
不要讓他覺得你是	5.0	4.0	0.0	2.53
