No.	Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD	Category
2761	呂興巨集患有老年癡呆的68歲鄖陽區老人呂興巨集，於5月22日上午從鄖陽區南化塘鎮走失後，一直沒有音信，家人苦尋兩天無果，盼熱心市民提供線索。	2.889	5.000	0.567	1.414	news
1736	其次，不願罷免與馬總統的施政表現無直接相關，純粹只是不願意看到罷免案所引發的政治動盪，會讓臺灣的經濟發展更加每下愈況。	3.500	5.143	0.5	0.639	political
1759	美國官員表示，德黑蘭的正面迴應，暗示今年美伊舉行會談的機會增加。	5.222	5.625	0.786	0.696	political
2755	彌月禮盒真的很多種類，光是挑選就眼花撩亂和老公光是吃一堆油飯和蛋糕就吃得好飽後來看到明月堂可以覺得很特別！	6.375	4.857	0.484	1.457	news
2742	我非常佩服姚明的一點，不僅僅是他苦練球技和體能，用一場場比賽戰績證明自己，更是高超的情商和豁達的心態，不斷地化敵為友。	7.000	5.111	0.707	2.283	news
327	偶像劇：一定是醜女配有錢的帥哥，不然就是醜男配美女。	5.000	4.333	0.866	1.247	car
146	這本書非常棒，無論從故事構思，還是從表現手法都無不顯示出作者非凡的文學功底，兩個悽美的愛情故事被演繹得淋漓盡致！	6.444	6.000	1.066	0.816	book
734	攜程推薦此賓館是不注重會員的基本利益。	4.625	3.875	1.576	0.927	hotel
1973	應考量國營事業的實際狀況及政策因素，反對齊頭式平等。	4.500	4.143	0.866	0.99	political
73	瀏覽了Air夫婦的網站，看到“壞脾氣/愛吃不吃***”時覺得好可愛。	6.111	4.500	0.994	1.0	book
1978	但遭遇既得利益者強烈反彈後，又改口發放依據的注意事項是「每年頒訂」，並稱要與經濟連動。	3.889	4.625	0.875	0.857	political
183	還算精美的一本書，最開始吸引我的是很多人的評論和推薦。	6.500	4.143	0.5	0.833	book
1868	執政者無能，人民十分火大。	2.714	6.571	0.452	1.178	political
2477	喬治華盛頓大學憲法學專家JonathanTurley稱，否定面部識別在確保機場和邊境設施安全方面的價值是荒誕的，很難否認這項技術在公共安全上的價值。	5.750	5.125	0.968	0.781	news
2623	雖然現在換臉影片已經不稀奇了，不過通常製作出令人信服的Deepfakes假影片剪輯需要大量的資料對模型進行反複訓練。	5.000	3.000	0.0	1.512	news
1232	未成年懷孕學生身邊的大人，剛開始聽到這樣的消息，難免震驚，但當孩子願意跟我們說，代表的是孩子信任我們，此時真的需要我們的幫助。	6.000	4.750	0.707	1.392	news
942	最開心的是朋友幫忙裝了ＷＩＮＤＯＷＳ７，介面很漂亮！	7.222	6.125	0.416	1.053	laptop
211	都覺得很快樂很幸福娜娜很可愛。	6.625	5.500	0.857	1.118	book
2908	對於家庭裝修而言，除了要把家裡修飾的漂漂亮亮之外，水、電兩路的佈局是最關鍵的了，因為裝修一旦完工，這線路、管路的佈局基本不太可能去修改。	5.000	2.889	0.0	1.449	news
245	頭皮去替他做三天小學生……很喜歡夢神奧列傘的世界，一口氣把6本全套書都讀完了。	5.900	5.500	0.831	1.118	book
460	camry本來就是同級車得標竿，在這級距本來他的對手就只有他自己，說哪台車好哪台車不好，說實在的~~只有銷售數字不會騙人產品好沒道理賣不出去，東西賣不出去不去找原因反而在這邊取笑別人，我是覺的很可憐啦~~ACCORD跟Ecoboost為何不75萬起跳，回饋消費者也好阿，有人買才有機會淘汰大家口中爛產品，不願在價格上做讓步，只想請些人在網路上打嘴炮~~怪不得東西賣不出去	3.250	6.667	0.433	0.667	car
842	6芯電池保證3小時以上的使用時間	5.375	4.571	0.484	0.728	laptop
2447	Faleemi最近就在香港推出M1這款體積細小但功能齊全的Wi-Fi保安IP鏡頭，相信應該十分適合在家居環境狹小的香港用家使用。	6.286	4.000	0.7	1.5	news
2700	老人們蹣跚、遺忘，逐漸被衰老剝奪生命的活力，但更多的時候，人們看到的是一張張滿是皺紋的笑臉，他們跟著音樂拍手，也常常伴著歌聲睡著。	6.571	4.143	1.05	2.231	news
2262	根據明斯特大學的行星學家的研究，44億年地球與忒伊亞的碰撞不僅形成了月球，還帶來了使地球變得宜居的水。	5.333	4.286	0.471	1.278	news
