No.	Word	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
1819	適應	5.200	4.000	1.17	1.41
418	免費	6.200	4.800	1.166	2.135
1782	實行	5.200	3.600	0.4	1.36
439	孝	7.200	4.000	1.166	1.265
3152	不歡而散	3.100	5.900	0.2	1.2
3810	嚇歪	2.900	7.400	1.025	1.517
2568	哀悼	2.600	5.600	0.49	1.5
1918	透明	5.000	3.000	0.0	1.41
342	光亮	5.800	4.600	0.748	1.625
3813	藏污納垢	1.900	6.000	0.742	1.225
932	窒息	2.200	4.800	1.166	2.561
2754	擠滿	4.200	3.600	0.75	1.96
3742	整齊劃一	6.200	2.700	1.095	1.204
1280	滿足	7.400	4.600	0.8	1.356
2744	洩露	3.800	4.800	0.4	0.98
729	唐突	3.600	5.400	0.49	1.02
1685	資源	5.400	2.800	0.8	1.83
1110	脾氣	4.800	4.400	0.4	1.96
5060	瘋癲	1.400	5.400	0.548	2.302
3641	酸痛	2.600	6.100	0.894	1.517
2669	免職	3.000	4.800	0.63	0.98
3260	渴盼	6.300	7.000	1.166	0.707
5067	怠惰	3.200	1.900	1.095	0.742
1068	殘忍	2.000	7.800	0.632	0.748
2666	薄弱	3.600	4.000	0.49	1.26
3255	愛撫	6.800	5.900	0.98	0.2
4181	皇天不負苦心人	8.500	8.200	0.5	0.447
4664	好久	4.400	2.100	0.548	1.025
840	偉大	7.200	6.600	0.748	1.356
3635	痊癒	7.200	4.900	1.304	1.636
3825	壞掉	2.600	5.200	1.194	1.304
2984	善舉	6.200	3.200	0.51	0.748
2106	好吃	6.400	4.400	0.49	1.02
236	不顧一切	4.600	7.800	1.02	0.98
609	冒險	4.800	7.600	0.98	0.49
631	威嚴	5.400	5.400	1.02	0.49
1953	在意	5.000	3.800	0.0	2.04
2188	寬闊	6.000	3.600	0.63	1.85
2566	加劇	4.000	5.800	0.63	1.72
4715	砍頭	1.600	7.200	0.894	1.789
808	臭	3.800	4.600	0.4	1.625
2996	清高	5.900	2.800	0.8	0.98
3525	心花怒放	7.200	7.200	0.678	0.927
4963	自命清高	3.100	4.000	1.342	1.581
1633	驚駭	3.200	7.800	1.47	0.4
3882	鬆垮	2.600	5.300	1.342	1.483
4614	上鉤	3.700	3.800	1.204	1.643
227	大方	6.400	5.200	0.49	1.166
554	放任	3.000	6.200	0.632	1.47
1076	無奈	3.600	4.200	0.8	0.748
3834	簡便	7.200	3.200	1.151	1.643
1799	務實	6.000	3.600	0.63	1.36
2366	爭執	3.400	6.000	0.49	0.63
1897	理會	5.000	3.400	0.0	1.02
2737	狹窄	4.200	3.400	0.4	1.36
1423	適當	6.200	4.600	0.4	0.8
2486	擅自	3.600	5.400	0.49	0.49
3874	變濁	2.700	4.200	0.837	0.837
3821	超群	7.500	6.300	1.118	0.671
3394	學有專精	6.700	4.800	1.03	0.51
1922	專屬	5.600	3.600	0.8	1.74
3425	心儀	6.800	4.700	0.51	1.568
2798	剷除	4.000	5.400	1.1	0.8
1885	切實	5.200	3.600	0.4	1.62
4237	退色	3.500	3.000	0.4	1.62
4361	行不通	3.300	4.100	1.204	1.387
4232	有口皆碑	7.700	7.000	1.204	1.387
3779	精采	8.500	7.100	0.707	1.597
3250	癡情	6.800	6.300	0.748	0.98
3367	槍聲	3.400	4.400	1.2	2.653
2232	不要	4.000	4.200	0.63	1.47
4310	凹凸不平	4.100	5.400	0.822	1.71
799	缺乏	3.400	4.600	0.49	1.356
5235	酒鬼	3.100	4.400	0.742	0.894
4047	起疑	3.900	3.200	0.894	1.304
616	咯咯笑	6.400	5.800	0.49	1.166
457	扭曲	3.600	5.200	0.8	1.6
3593	亂七八糟	3.100	6.800	0.962	0.837
2640	抵抗	3.400	6.200	0.8	1.17
958	貧賤	2.400	7.400	0.49	0.49
3478	恩人	6.800	3.500	0.51	1.612
2512	動盪	3.600	4.800	0.8	1.17
1842	得獎	7.000	5.800	0.63	1.72
3530	惡行	2.600	5.800	0.583	1.568
5184	趁火打劫	2.500	6.500	0.866	2.179
3224	懂事	6.500	4.700	0.894	0.6
5170	省時	6.400	1.400	0.894	0.548
4327	白搭	3.500	3.800	1.0	1.483
275	心痛	2.600	7.200	1.02	0.98
2228	短暫	4.600	3.600	0.49	1.74
3849	變糟	2.200	5.600	0.908	1.557
2828	洩密	3.100	5.300	0.663	1.4
3541	坦直	6.200	4.200	0.51	0.98
5260	不合宜	4.300	2.200	0.837	1.304
4252	炫爆	7.200	7.600	0.837	1.304
2668	大屠殺	1.800	7.200	0.75	0.98
860	崇拜	6.400	6.800	0.8	0.748
1683	達成	6.400	5.000	0.49	1.79
4915	難以置信	4.900	5.800	0.224	1.754
1180	損壞	2.600	7.200	0.49	0.748
1648	讚嘆	7.600	7.200	0.49	0.4
930	眼淚	3.400	5.800	0.8	0.98
2433	神經	4.200	4.200	0.75	1.83
4637	食古不化	3.600	3.500	0.894	1.323
4357	老舊	3.800	3.200	0.758	1.304
1039	悶	3.800	4.000	0.4	1.265
3728	潮溼	3.500	3.600	1.323	1.342
4288	十全十美	8.400	6.900	0.822	1.432
1366	敵視	3.000	6.600	0.632	0.49
2387	對付	3.800	4.800	0.75	0.98
3973	獨享	6.200	6.200	0.908	1.643
208	饒恕	5.600	5.000	0.8	1.789
5103	不穩固	4.100	2.700	0.418	2.729
5039	恨你	2.700	7.200	1.304	1.483
1678	機會	6.200	4.400	0.75	1.02
4480	潛心於	5.400	2.800	0.49	1.166
4662	放寬	6.700	1.600	1.204	0.548
4516	有口無心	4.100	3.500	0.742	1.414
3583	華而不實	2.900	6.300	0.894	1.151
1911	免除	5.000	4.000	0.0	1.1
4233	中意	7.500	6.400	0.0	1.1
1063	期盼	6.200	6.000	0.748	1.265
4798	沉溺	3.400	3.300	0.962	1.789
4495	偽君子	2.300	4.300	0.975	1.396
4007	沒效果	4.200	4.400	0.4	1.2
5109	沒道理	3.100	3.900	0.548	1.746
1619	驚呆	4.400	7.800	0.49	0.98
4312	功不可沒	7.900	4.600	1.14	0.894
4468	顧人怨	1.400	7.500	0.548	1.225
1686	公開	5.400	3.800	0.49	1.47
1524	膽戰心驚	2.800	7.600	0.748	0.49
3907	充盈	6.300	5.400	0.447	0.962
3119	造謠	3.400	5.900	1.2	0.49
1784	傑出	7.400	5.000	1.02	1.67
2966	間歇	5.200	2.800	0.4	1.72
1469	親	6.600	5.800	0.8	1.6
1012	報復	2.200	7.600	0.748	1.02
905	混亂	3.000	6.400	0.632	0.8
812	草率	3.400	4.800	0.8	1.327
1097	痛不欲生	1.800	8.400	0.748	0.49
4006	無效果	4.200	4.400	0.4	1.2
4061	平淡無奇	4.800	2.100	0.274	1.14
503	受虐	1.800	8.000	0.4	0.632
563	昏亂	3.400	5.200	0.49	1.327
2704	灼傷	3.200	5.200	0.75	0.98
2557	不彰	3.400	5.000	0.49	0.0
3134	置之不理	3.500	5.800	0.775	0.748
4540	賣國	2.700	5.600	1.095	1.557
3135	姑息	3.800	5.700	0.4	0.872
521	固執	3.400	5.400	0.49	1.96
1522	膽怯	3.200	5.200	0.748	1.47
3769	有利於	7.700	5.100	0.908	1.342
3984	變鈍	3.500	3.000	0.707	0.707
1596	護	6.000	4.400	0.894	1.2
5124	目中無人	2.900	4.600	0.742	2.608
2450	宣判	4.400	4.600	0.49	1.5
3482	俘獲	5.100	4.200	1.281	1.86
4324	甘醇	6.700	4.200	1.151	1.44
2797	失效	4.000	4.000	0.0	1.1
922	甜甜	6.400	4.400	0.8	1.96
2898	虛偽	3.100	4.200	0.917	1.568
3856	紓解	7.300	3.500	0.671	1.5
2646	有罪	3.000	5.400	0.0	0.8
1699	擁有	5.600	4.200	0.8	1.47
4551	醉漢	3.200	6.000	0.758	1.225
796	笑話	5.800	4.800	0.748	1.6
1577	嚴酷	2.800	7.600	1.166	1.2
5447	好聞	6.300	4.300	0.671	0.908
4872	廢話	4.100	3.700	0.652	2.049
3977	傷透	2.600	7.600	0.418	1.517
1716	很多	5.600	4.200	0.8	0.98
3945	騷包	3.600	5.200	1.14	1.525
2641	忍受	3.600	5.600	0.49	0.8
3534	惶恐	3.300	6.800	0.6	0.4
4339	名符其實	6.800	5.000	0.908	1.458
4073	所費不貲	2.900	4.100	1.245	1.245
4170	持之以恆	7.300	1.900	0.837	0.742
3328	加害	2.300	5.900	0.4	1.855
1741	財產	5.200	2.400	0.4	1.36
2057	細膩	6.000	3.400	0.0	1.02
4375	灼熱	3.700	7.600	1.44	1.14
290	古怪	4.200	4.800	0.4	0.748
2292	辯論	4.400	5.800	0.8	0.75
330	生厭	3.400	5.800	0.49	1.166
2727	傾斜	3.800	3.800	0.4	1.17
1256	違背	3.000	4.800	0.632	1.47
4050	風平浪靜	6.000	1.400	1.0	0.894
684	看不起	3.200	6.000	0.748	1.095
58	支撐	5.600	5.600	1.02	1.855
3642	痠痠痛痛	2.600	6.100	0.894	1.517
3289	何不	4.900	3.700	0.374	1.327
2248	違反	3.600	4.600	0.49	1.02
1286	疑心	3.200	5.400	0.4	0.8
3921	記錯	3.100	4.600	0.548	1.517
1115	虛心	6.200	2.600	1.327	1.356
4382	邪不勝正	7.700	5.600	1.396	0.652
1555	壞運	3.000	5.600	0.0	1.02
2635	次級	4.200	3.600	0.4	1.2
5387	耍狠	3.100	5.700	1.084	1.483
4171	指日可待	6.700	3.400	0.837	1.294
2121	熱力	5.600	3.200	1.2	2.04
2251	不得	4.000	4.200	0.63	0.98
1681	努力	6.800	5.800	0.75	1.47
3422	純潔	6.500	2.800	0.707	1.364
872	得意洋洋	4.600	6.600	0.8	1.02
2409	頻繁	5.000	4.600	0.0	1.36
4030	好看	7.200	3.700	0.837	1.789
4846	草菅人命	2.600	6.700	0.962	1.681
1568	難過	3.000	5.600	0.632	1.356
4401	沉寂	3.800	2.300	0.927	0.872
2676	隱藏	4.600	3.200	0.49	0.98
2973	英雄式	6.500	5.500	0.894	2.098
2897	關押	3.700	4.600	0.6	1.855
3862	獨得	7.000	6.100	1.0	1.245
1148	傷勢	3.400	4.600	0.49	1.625
4484	昏昏沉沉	3.200	3.400	0.4	1.855
5159	洋鬼子	2.400	3.000	1.342	2.449
3712	念念不忘	6.200	4.700	1.304	1.396
4215	堂堂正正	7.200	4.900	1.095	0.894
2411	高價	5.200	3.800	0.4	0.75
4752	不可諱言	4.800	3.300	1.037	1.643
1865	警覺	4.600	4.400	0.8	1.5
3903	驚艷	6.700	7.600	0.447	0.652
2893	上吊	2.200	6.000	0.4	2.098
3315	糾纏	3.000	5.400	0.632	2.131
1108	絕妙	6.800	6.800	0.4	0.4
543	怪	3.400	4.800	0.49	1.47
3889	顛簸	3.600	5.700	0.418	1.204
3766	嘆為觀止	7.500	7.800	1.0	1.151
1849	理解	5.800	4.200	0.75	1.33
1345	德行	6.600	3.200	1.356	1.6
3346	毒害	1.900	5.800	0.374	1.631
1316	輕忽	3.800	5.200	0.4	0.748
3217	會心	6.200	4.800	0.678	0.4
5278	死鬼	4.200	4.800	0.837	1.037
621	哀傷	2.400	5.400	0.49	1.96
2627	嚴懲	2.800	6.600	0.75	1.02
3048	碎片	3.900	4.200	0.97	1.72
2189	特級	6.400	4.400	0.49	1.2
2513	屠殺	2.200	7.200	0.4	1.17
4805	琳瑯滿目	6.100	4.800	0.742	1.681
732	害怕	3.200	5.600	0.4	1.497
5016	橫肉	2.900	4.100	1.245	2.191
2086	相等	5.200	3.000	0.4	1.1
1468	褫奪	2.600	7.400	0.8	0.49
2772	炸毀	3.000	6.600	0.63	1.02
2443	撲滅	3.800	6.200	1.17	0.75
3529	自滿	4.500	5.700	2.121	1.887
2032	至上	6.000	3.600	0.89	1.36
4281	前所未有	6.400	6.700	0.89	1.36
1963	發育	5.600	3.600	0.49	1.62
2803	錯失	3.500	6.400	0.632	0.8
1787	思考	5.400	3.400	0.49	1.5
5193	亂說話	3.600	4.200	1.084	1.304
4623	告密	2.600	4.000	0.894	1.414
5441	不黏膩	6.200	3.800	0.758	1.351
5479	細致	5.800	3.400	0.4	1.36
2457	任意	4.200	4.200	0.4	0.98
5275	懶得	4.600	2.400	0.418	1.673
4546	吵死	2.300	8.200	0.671	0.57
2466	冷戰	3.600	4.400	0.49	0.8
2447	流氓	3.400	5.400	0.49	0.49
324	生命力	6.800	5.800	0.748	1.166
784	真誠	7.000	5.000	0.632	1.095
1005	喪志	2.400	5.400	0.49	2.154
2600	欠佳	3.600	4.000	0.49	1.41
3713	壽終正寢	2.500	3.900	1.414	1.432
344	光輝	6.600	5.800	0.49	1.166
1991	修理	4.800	3.800	0.4	1.17
1924	友善	6.600	4.000	1.02	1.41
3314	藐視	3.000	6.200	0.632	1.806
160	冒犯	3.200	7.000	0.748	0.894
2604	退役	5.000	3.800	0.0	1.47
1452	機靈	7.000	6.000	0.632	1.265
5326	潦倒	3.600	3.700	0.548	1.565
3863	擴增	6.700	5.100	1.204	1.025
868	強健	6.600	6.400	0.49	1.2
4282	前所未見	6.400	6.700	0.49	1.2
5139	狂放	4.400	5.300	0.822	1.789
2266	離開	4.600	4.000	0.49	1.26
1539	鮮美	6.200	5.400	0.4	1.356
1943	誠摯	6.400	4.200	0.49	0.98
2791	侵蝕	3.400	4.400	0.49	0.8
3283	飛黃騰達	7.900	7.900	0.583	0.2
5354	搞政變	2.700	5.400	0.837	1.917
4044	浮腫	2.700	2.500	0.447	1.118
3851	枉費	3.000	6.300	1.0	1.483
1379	樂得	6.200	4.400	0.4	1.625
1091	無懼	5.800	5.800	1.47	1.166
994	喜宴	6.600	6.200	0.49	1.72
1989	難忘	5.200	4.200	0.75	1.17
3245	豐饒	6.900	4.700	0.663	1.166
