No.	Word	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
0	不可思議	5.400	7.200	1.02	1.327
1	不平	3.600	5.800	0.49	0.98
2	不甘	3.200	6.400	0.4	0.8
3	不安	3.800	5.400	0.4	0.49
4	不利	3.600	5.600	0.49	0.8
5	不足	4.200	4.200	0.4	1.166
6	不定	4.200	3.800	0.4	0.98
7	不宜	3.800	4.400	0.748	1.356
8	不幸	2.600	6.000	0.49	1.549
9	不拘小節	6.400	4.200	0.49	1.72
10	不服	3.400	6.600	0.49	0.49
11	不知所措	3.200	6.200	0.748	1.327
12	不便	4.000	4.400	0.0	1.497
13	不耐	4.000	4.400	0.0	1.625
14	不耐煩	3.600	6.000	0.8	1.095
15	不准	3.600	6.200	0.49	0.98
16	不屑	3.000	6.000	0.632	1.265
17	不悅	3.200	6.000	1.166	1.265
18	不爽	2.800	7.200	1.166	0.4
19	不祥	2.800	5.200	0.4	1.166
20	不符	3.800	4.000	0.4	1.789
21	不順	3.600	4.600	0.49	1.02
22	不當	3.400	5.600	0.8	1.2
23	不解	4.200	4.200	0.4	1.47
24	不滿	3.200	6.400	0.748	0.8
25	不適	3.600	4.600	0.49	1.356
26	正	6.600	5.000	0.49	1.673
27	多餘	4.000	4.000	0.0	1.549
28	好	6.800	5.200	0.4	0.4
29	否定	3.400	5.400	0.49	1.356
30	否認	3.600	5.200	0.49	1.166
31	足夠	5.800	4.000	0.4	1.265
32	肯定	6.800	6.000	0.748	0.632
33	哇	6.000	6.600	0.894	0.49
34	哎呀	4.800	6.800	0.4	0.4
35	恰好	6.400	5.000	0.49	0.632
36	耶	7.200	7.200	1.166	1.166
37	單獨	4.400	3.600	0.8	1.2
38	無力	3.200	3.600	0.748	1.96
39	無足輕重	4.400	4.000	0.49	1.414
40	無情	2.600	5.800	1.02	2.4
41	無理	2.600	6.800	1.02	1.166
42	無暇	3.600	5.600	1.356	1.2
43	無趣	3.400	5.200	0.8	0.98
44	無禮	2.800	7.000	0.98	1.095
45	想	5.200	3.600	0.4	1.497
46	過分	2.800	6.800	0.748	0.4
47	對	6.400	4.800	0.49	1.327
48	認真	7.000	5.000	0.632	1.265
49	嘻	6.600	5.800	0.8	0.98
50	嘻嘻	7.000	6.200	1.095	0.748
51	隨便	4.200	5.200	0.98	0.4
52	隨意	5.600	4.200	0.49	0.98
53	豐富	6.800	5.600	0.748	1.02
54	願意	6.800	5.000	0.748	1.414
55	小心	4.600	6.000	1.02	0.894
56	分享	6.800	4.600	0.748	1.02
57	支持	7.200	5.000	0.4	1.789
58	支撐	5.600	5.600	1.02	1.855
59	付出	5.800	5.600	0.98	1.356
60	失去	3.200	6.400	0.4	1.356
61	失敗	2.200	7.200	1.166	1.166
62	打	3.200	6.600	0.748	0.8
63	同意	6.400	4.400	0.49	1.2
64	成功	8.200	6.600	0.748	0.49
65	死	1.200	5.000	0.4	3.033
66	吸引	6.000	6.200	0.632	1.327
67	希望	7.000	5.200	0.632	1.72
68	忘記	4.000	4.600	0.632	0.49
69	協助	6.600	4.600	0.49	1.02
70	抱	5.800	5.200	0.748	1.6
71	玩	5.600	5.800	1.497	0.98
72	信任	7.800	5.800	0.748	1.47
73	相信	7.200	5.400	0.98	1.356
74	討厭	2.600	6.600	0.49	0.49
75	貢獻	7.400	5.600	1.02	1.02
76	逃避	3.000	6.000	0.0	0.632
77	喜愛	7.200	6.200	0.4	0.98
78	喜歡	7.000	5.800	0.632	0.98
79	喪失	2.600	5.800	0.49	1.6
80	期望	6.000	5.200	0.0	1.166
81	答應	5.800	5.000	0.748	1.897
